ROI,Sequence,Approach,FA
Splenium,dti,dti,0.5870593
Splenium,dti,dti,0.5360241
Splenium,dti,dti,0.48407537
Splenium,dti,dti,0.3968876
Splenium,dti,dti,0.8344907
Splenium,dti,dti,0.7887968
Splenium,dti,dti,0.74581015
Splenium,dti,dti,0.70393854
Splenium,dti,dti,0.665573
Splenium,dti,dti,0.62250435
Splenium,dti,dti,0.5747538
Splenium,dti,dti,0.5439751
Splenium,dti,dti,0.5223023
Splenium,dti,dti,0.45198026
Splenium,dti,dti,0.6862646
Splenium,dti,dti,0.71787775
Splenium,dti,dti,0.727253
Splenium,dti,dti,0.71268404
Splenium,dti,dti,0.66668195
Splenium,dti,dti,0.6328531
Splenium,dti,dti,0.6093046
Splenium,dti,dti,0.5870542
Splenium,dti,dti,0.5655992
Splenium,dti,dti,0.4952228
Splenium,dti,dti,0.6454715
Splenium,dti,dti,0.7061836
Splenium,dti,dti,0.7217784
Splenium,dti,dti,0.67734367
Splenium,dti,dti,0.6509357
Splenium,dti,dti,0.64036
Splenium,dti,dti,0.6218657
Splenium,dti,dti,0.59941673
Splenium,dti,dti,0.5327343
Splenium,dti,dti,0.45432997
Splenium,dti,dti,0.7119007
Splenium,dti,dti,0.68784714
Splenium,dti,dti,0.6590456
Splenium,dti,dti,0.6292782
Splenium,dti,dti,0.5989675
Splenium,dti,dti,0.5511714
Splenium,dti,dti,0.49895635
